brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,warranty,Touchscreen,msoffice,rating,Price
4,1,1,0,3,1,6,0,2,1,0,0,0,0,3,42490
4,1,1,1,3,1,6,0,2,1,0,0,0,0,3,43970
1,1,1,0,2,1,6,0,2,1,0,0,0,0,3,39990
6,1,1,1,3,1,6,0,2,1,0,3,0,0,3,48990
4,1,1,1,3,1,6,0,2,1,0,0,0,0,3,54990
6,1,1,0,3,1,6,0,2,1,0,3,0,0,3,40990
1,1,1,1,3,1,6,0,2,1,0,0,0,0,2,41990
5,1,1,1,3,1,6,0,2,1,0,0,0,0,3,54990
1,1,1,1,3,1,6,0,2,1,0,0,0,0,3,44990
4,1,1,1,3,1,6,0,2,1,0,0,0,0,3,41250
4,1,1,1,3,1,6,0,2,1,0,3,0,0,2,44990
1,1,1,1,3,1,6,0,2,1,0,0,0,0,3,42990
3,1,1,1,3,1,6,0,2,1,0,0,0,0,3,60790
4,1,1,1,3,1,6,0,2,1,0,3,0,0,3,45650
3,1,1,0,3,1,6,0,2,1,0,0,0,0,2,41990
3,1,1,0,3,1,6,0,2,1,0,0,0,0,3,45490
1,1,1,1,3,1,6,0,2,1,0,0,0,0,2,44990
5,1,1,1,3,1,6,0,2,1,0,1,0,0,3,42990
4,1,1,1,2,1,6,0,2,1,0,0,0,0,3,45490
4,1,1,0,2,1,6,0,2,0,0,3,0,0,3,38799
4,1,1,1,2,1,6,0,2,1,0,0,0,0,2,69267
1,1,1,1,2,1,6,0,2,1,0,0,0,0,2,51649
4,1,1,1,2,1,6,0,2,1,0,0,0,0,3,47990
1,1,1,0,2,1,6,0,2,1,0,0,0,0,3,40990
1,1,1,0,2,1,6,0,2,1,0,0,0,0,3,42990
1,1,1,1,2,1,6,0,2,1,0,0,0,0,2,44890
1,1,1,0,2,1,6,0,2,1,0,0,0,0,3,41490
4,1,1,1,2,1,6,0,2,0,0,0,0,0,2,50990
4,1,1,1,2,1,6,0,2,1,0,0,0,0,3,48900
3,1,1,0,2,1,6,0,2,1,0,3,0,0,2,41790
5,1,1,1,2,1,6,0,2,1,0,0,0,0,2,57999
3,1,1,1,3,1,6,0,2,1,0,3,0,0,2,45930
4,1,1,1,3,1,6,0,2,1,0,0,0,0,3,55490
1,1,1,0,3,1,0,1,2,1,0,0,0,0,2,32890
5,1,1,0,3,1,0,1,2,1,0,0,0,0,3,35990
3,1,1,1,3,1,0,1,2,1,0,3,0,0,3,42490
3,1,1,1,3,1,0,1,2,1,0,3,0,0,2,42190
3,1,1,0,3,1,0,1,2,1,0,0,0,0,3,39490
4,1,1,1,3,1,0,1,2,1,0,0,0,0,3,43690
1,1,1,0,2,1,0,1,2,1,0,0,0,0,2,35990
3,1,1,1,3,1,0,1,2,0,0,3,0,0,3,43800
5,1,1,0,3,1,0,1,2,0,0,3,0,0,2,38990
1,1,1,0,2,1,0,1,2,1,0,0,0,0,2,34990
1,1,1,1,3,1,0,1,2,1,0,0,0,0,2,38900
